strain,plate,T1,T2,C1,C2
wt,a,16,104,1,0
wt,b,47,91,2,7
wt,c,78,30,1,1
wt,d,90,44,4,7
wt,e,10,94,0,1
wt,f,37,47,2,4
daf-19,u,47,60,23,25
daf-19,v,76,65,20,34
daf-19,w,59,58,12,19
daf-19,x,60,70,34,21
daf-19,y,47,72,40,13
daf-19,z,56,55,23,15
